company,location,education,skills_description,job_type,salary,job_experience,job_role
UPL,"Bengaluru, Mumbai",Postgraduate,"python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics",contract,939957.0,5-6,Senior Data Scientist
Walmart,Bengaluru,Postgraduate,"Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow",contract,2060767.0,1-7,Senior Data Scientist
SAP India Pvt.Ltd,Bengaluru,Undergraduate,"Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP",full-time,698970.0,7-8,Applied Data Scientist / ML Senior Engineer (Python / SQL)
UPL,"Bengaluru, Mumbai",Postgraduate,"python, machine learning, Data Science, data analysis, aws, azure",full-time,529674.0,6-7,Data Scientist
Walmart,Bengaluru,Undergraduate,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning",contract,2163829.0,3-7,Data Scientist
Walmart,Bengaluru,Postgraduate,"Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning",full-time,2202588.0,6-7,Principal Data Scientist
Walmart,Bengaluru,Undergraduate,"Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics",contract,1681841.0,2-4,Data Scientist
UPL,"Bengaluru, Mumbai",Postgraduate,"team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science",contract,1307215.0,1-4,Expert Data Scientist
Ericsson,Bengaluru,Postgraduate,"Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence",full-time,,3-4,Data Scientist
Geakminds Technologies Private Limited,Chennai,Undergraduate,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL",contract,1449463.0,6-8,Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai
Global Employees,"Kolkata, Mumbai, Hyderabad, Pune, Bengaluru, Any Location",Not Specified,"Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source",full-time,1293537.0,3-5,Senior Data Scientist - Machine Learning
Tredence Analytics Solutions Private Limited,"Gurugram, Chennai, Bengaluru",Postgraduate,"Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning",full-time,,6-7,Data Scientist / Senior Data Scientist
Target,Bengaluru,Postgraduate,"Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum",contract,1062937.0,3-7,Sr Data Scientist
Northface Consultancy Services Private Limited,Bengaluru,Postgraduate,"database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS",Not Specified,452946.0,4-6,Senior Data Scientist
referral,Bengaluru,Not Specified,"Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval",contract,2430530.0,1-3,Senior Data Scientist
Micello India Pvt Ltd,Bengaluru,Undergraduate,"CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS",full-time,619637.0,6-7,Lead Python Data Scientist
Flipkart,Bengaluru,Undergraduate,"Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks",contract,,6-8,Senior Data Scientist Grade12
Flipkart,Bengaluru,Postgraduate,"data science, E-commerce, Statistics",contract,2136779.0,4-5,Senior Data Scientist Grade12
Tesco,Bengaluru,Undergraduate,"python, Tableau, Machine Learning, sql, Statistical Modeling, Adv Excel, Microstrategy, R shiny",contract,1906007.0,6-7,Sr. Analyst - Applied Data Scientist
IGT India,Hyderabad,Postgraduate,"IT Skills, Python, Data Science, Machine Learning, Big Data, AWS, Azure, Computer science",full-time,1124428.0,4-7,Data Scientist V
Pfizer,Chennai,Postgraduate,"Computer science, data science, Neural networks, Pharma, Network analysis, Machine learning, Clinical trials, data visualization",full-time,,3-4,"Manager, Data Scientist/AI and Machine Learning Specialist"
eClerx,Pune,Postgraduate,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, Data Analytics, Random Forest",contract,1825133.0,5-6,Digital-Process Manager-Data Scientist PM
Eli Lilly and Company,Bengaluru,Undergraduate,"data reporting, Analytical, Pharma, Healthcare, data integrity, HR, Troubleshooting, HPLC",contract,902856.0,3-5,Associate Data Scientist
Revnomix Solutions LLP,"Mumbai, Pune, Mumbai",Undergraduate,"python, django, java, MySQL, IT Skills, Data Science, Cloud, Javascript",full-time,572639.0,5-6,Senior Data Scientist
novo,Gurugram,Postgraduate,"Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL",full-time,1911490.0,2-4,Senior Data Scientist
Sejal Consulting Hub,Remote,Undergraduate,"Data Analysis, C++, Data Visualization, Advanced Excel, Tableau, Python",contract,1835512.0,5-6,Junior Data Analyst/ Scientist- Fresher Position
Accenture,Bengaluru,Undergraduate,"SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials",full-time,453951.0,6-8,Sr. Clinical Data Programming Scientist
Pfizer,Chennai,Postgraduate,"Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring",Not Specified,895081.0,1-7,"Manager, Senior Clinical Data Scientist, Clinical Data Sciences"
Michelin,Pune,Undergraduate,"Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data",contract,367683.0,6-7,Senior Data Scientist
eClerx,Pune,Undergraduate,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics",contract,1912489.0,7-8,Digital-Senior Process Manager- Data Scientist SPM
MNR Solutions Pvt. Ltd.,"Pune, Bengaluru",Not Specified,"Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data",full-time,1899161.0,0-1,Data Scientist
Teq Analytics,"Bengaluru, Delhi NCR, Mumbai",Postgraduate,"Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science",contract,1940902.0,4-5,Data Scientist - Machine learning AI
String Bio,Bengaluru,Postgraduate,"Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence",full-time,1185086.0,2-4,DATA SCIENTIST
Target,Bengaluru,Undergraduate,"Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source",Not Specified,1956620.0,0-2,Principal Data Scientist - Digital Marketing
Tesco Bengaluru,Bengaluru,Undergraduate,"Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python",contract,1063887.0,1-2,Manager Applied Data Scientist
Sportism,Chennai,Postgraduate,"machine learning, Tensorflow, BigQuery, SAP, Power BI, Hadoop, Big Data, Tableau",full-time,1876255.0,6-8,Sr Data Scientist and Engineer
Connexions,Gurugram,Undergraduate,"Python, Pyspark, credit risk modeling, credit card firm, Hadoop, LGD, SQL, R",Not Specified,303800.0,4-6,Data Scientist/ Sr Data Scientist
Pfizer,Mumbai,Postgraduate,"Computer science, Networking, Pharma, Machine learning, Javascript, Agile, Workflow, HTML",contract,1090761.0,7-8,"Manager, Lead Data Scientist (R CoE)"
IBM,Bengaluru,Postgraduate,"Training, Enterprise applications, Artificial Intelligence, Investigation, Open source, Watson discovery, Deployment",contract,668350.0,2-4,Data Scientist: Artificial Intelligence
Barclays Shared Services (BSS),Noida,Postgraduate,"Python, Predictive Modeling, Data Scientist, Model Deployment, Machine Learning",full-time,2342246.0,5-7,Data Scientist (AVP & Manager Roles)
UPL,"Bengaluru, Mumbai",Undergraduate,"Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS",Not Specified,1098406.0,2-7,Principal Data Scientist
Genpact,"Hyderabad, Bengaluru, Delhi NCR",Undergraduate,"AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree",full-time,2276730.0,5-7,Data Scientist
IBM,Bengaluru,Undergraduate,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing",contract,382994.0,2-3,Data Scientist: Advanced Analytics
IBM,Bengaluru,Postgraduate,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration",contract,1020437.0,7-8,Data Scientist: Artificial Intelligence
INOVARTECH PRIVATE LIMITED,Hyderabad,Postgraduate,"Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie",contract,2351816.0,3-6,"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)"
