company,location,education,skills_description,job_type,salary,job_experience,job_role,exp_min,exp_max,exp_avg,primary_location,role_category,salary_category,skill_count,experience_level
UPL,"Bengaluru, Mumbai",Postgraduate,"python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics",contract,939957.0,5-6,Senior Data Scientist,5,6,5.5,Bengaluru,Data Scientist,5-10 LPA,8,Senior
Walmart,Bengaluru,Postgraduate,"Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow",contract,2060767.0,1-7,Senior Data Scientist,1,7,4.0,Bengaluru,Data Scientist,>20 LPA,8,Mid-Level
SAP India Pvt.Ltd,Bengaluru,Undergraduate,"Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP",full-time,698970.0,7-8,Applied Data Scientist / ML Senior Engineer (Python / SQL),7,8,7.5,Bengaluru,Data Scientist,5-10 LPA,8,Senior
UPL,"Bengaluru, Mumbai",Postgraduate,"python, machine learning, Data Science, data analysis, aws, azure",full-time,529674.0,6-7,Data Scientist,6,7,6.5,Bengaluru,Data Scientist,5-10 LPA,6,Senior
Walmart,Bengaluru,Undergraduate,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning",contract,2163829.0,3-7,Data Scientist,3,7,5.0,Bengaluru,Data Scientist,>20 LPA,8,Mid-Level
Walmart,Bengaluru,Postgraduate,"Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning",full-time,2202588.0,6-7,Principal Data Scientist,6,7,6.5,Bengaluru,Data Scientist,>20 LPA,8,Senior
Walmart,Bengaluru,Undergraduate,"Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics",contract,1681841.0,2-4,Data Scientist,2,4,3.0,Bengaluru,Data Scientist,15-20 LPA,8,Junior
UPL,"Bengaluru, Mumbai",Postgraduate,"team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science",contract,1307215.0,1-4,Expert Data Scientist,1,4,2.5,Bengaluru,Data Scientist,10-15 LPA,8,Junior
Ericsson,Bengaluru,Postgraduate,"Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence",full-time,,3-4,Data Scientist,3,4,3.5,Bengaluru,Data Scientist,,8,Mid-Level
Geakminds Technologies Private Limited,Chennai,Undergraduate,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL",contract,1449463.0,6-8,Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,6,8,7.0,Chennai,Data Scientist,10-15 LPA,8,Senior
